date;jour;b1;b2;b3;b4;b5;chance;d1;d2;d3;d4;d5
2008-10-06;LUNDI;19;24;27;33;41;9;19;33;41;24;27
2008-10-08;MERCREDI;22;24;32;41;48;1;24;48;32;41;22
2008-10-11;SAMEDI;10;20;22;39;46;4;46;22;10;39;20
2008-10-13;LUNDI;10;11;37;41;48;4;11;10;41;37;48
2008-10-15;MERCREDI;18;20;28;40;49;1;49;28;18;20;40
2008-10-18;SAMEDI;4;32;35;39;44;10;44;35;4;32;39
2008-10-20;LUNDI;7;15;31;43;48;3;43;7;48;31;15
2008-10-22;MERCREDI;11;12;14;28;48;2;11;28;12;48;14
2008-10-25;SAMEDI;11;13;19;22;46;3;13;11;22;46;19
2008-10-27;LUNDI;4;6;37;44;46;2;46;37;44;4;6
2008-10-29;MERCREDI;22;28;41;43;49;4;43;28;22;41;49
2008-11-01;SAMEDI;4;22;27;36;45;3;22;4;27;36;45
2008-11-03;LUNDI;2;20;23;24;26;8;26;2;23;20;24
2008-11-05;MERCREDI;4;8;15;38;47;7;47;4;38;15;8
2008-11-08;SAMEDI;5;22;25;33;35;9;25;35;33;5;22
2008-11-10;LUNDI;9;12;21;38;45;6;12;9;21;45;38
2008-11-12;MERCREDI;23;34;35;40;45;5;45;35;34;40;23
2008-11-15;SAMEDI;10;22;41;43;48;3;41;10;48;43;22
2008-11-17;LUNDI;1;6;19;23;41;6;1;6;19;23;41
2008-11-19;MERCREDI;2;26;34;37;41;4;34;26;37;41;2
2008-11-22;SAMEDI;12;20;30;36;45;6;45;12;30;36;20
2008-11-24;LUNDI;17;30;31;36;43;8;43;36;31;30;17
2008-11-26;MERCREDI;11;13;25;28;49;5;49;11;13;25;28
2008-11-29;SAMEDI;18;20;22;32;36;7;18;36;20;32;22
2008-12-01;LUNDI;15;19;32;37;38;1;32;15;19;37;38
2008-12-03;MERCREDI;26;29;31;34;42;10;26;29;34;42;31
2008-12-06;SAMEDI;2;5;13;24;48;4;48;2;5;13;24
2008-12-08;LUNDI;1;11;15;29;31;8;29;15;1;31;11
2008-12-10;MERCREDI;10;11;35;38;41;3;41;38;10;35;11
2008-12-13;SAMEDI;8;24;31;38;42;7;24;38;8;42;31
2008-12-15;LUNDI;2;5;15;27;48;8;48;5;15;2;27
2008-12-17;MERCREDI;13;31;33;44;49;9;49;44;31;13;33
2008-12-20;SAMEDI;2;22;26;41;46;5;41;46;2;22;26
2008-12-22;LUNDI;2;5;27;35;48;3;5;27;2;35;48
2008-12-24;MERCREDI;2;4;27;33;41;5;33;27;2;41;4
2008-12-27;SAMEDI;17;36;37;47;49;10;36;47;17;49;37
2008-12-29;LUNDI;14;21;26;27;38;4;26;38;14;21;27
2008-12-31;MERCREDI;5;11;20;24;30;8;11;5;20;30;24
2009-01-03;SAMEDI;12;22;24;38;47;1;47;22;24;12;38
2009-01-05;LUNDI;8;11;25;29;36;2;8;29;36;25;11
2009-01-07;MERCREDI;9;11;33;37;39;8;37;39;9;33;11
2009-01-10;SAMEDI;10;21;40;44;49;2;49;40;21;10;44
2009-01-12;LUNDI;4;9;11;29;47;8;47;11;29;4;9
2009-01-14;MERCREDI;1;5;13;19;42;3;5;42;1;19;13
2009-01-17;SAMEDI;2;5;27;37;46;4;2;46;27;37;5
2009-01-19;LUNDI;7;26;32;38;39;9;39;38;7;32;26
2009-01-21;MERCREDI;3;10;32;35;47;3;32;47;10;35;3
2009-01-24;SAMEDI;5;15;20;28;40;10;5;40;15;20;28
2009-01-26;LUNDI;8;10;13;39;49;10;39;8;13;49;10
2009-01-28;MERCREDI;7;38;40;41;46;5;40;7;41;38;46
2009-01-31;SAMEDI;6;18;31;36;40;7;6;31;40;18;36
2009-02-02;LUNDI;4;12;31;38;41;8;4;38;12;31;41
2009-02-04;MERCREDI;10;20;27;43;47;3;20;43;47;27;10
2009-02-07;SAMEDI;4;16;22;34;49;10;4;16;34;22;49
2009-02-09;LUNDI;3;13;17;31;46;5;17;13;31;3;46
2009-02-11;MERCREDI;1;10;14;35;46;8;35;46;10;1;14
2009-02-14;SAMEDI;12;16;18;24;44;4;12;24;18;44;16
2009-02-16;LUNDI;16;21;23;29;46;4;46;23;29;21;16
2009-02-18;MERCREDI;10;23;28;40;43;9;28;40;10;23;43
2009-02-21;SAMEDI;21;39;40;47;48;5;47;21;48;39;40
2009-02-23;LUNDI;3;14;22;31;34;7;3;14;34;31;22
2009-02-25;MERCREDI;4;15;21;30;36;4;15;4;21;30;36
2009-02-28;SAMEDI;14;16;25;41;45;10;45;14;41;25;16
2009-03-02;LUNDI;8;14;29;41;48;10;41;29;14;48;8
2009-03-04;MERCREDI;7;9;10;25;29;6;7;9;29;25;10
2009-03-07;SAMEDI;2;15;22;24;36;8;36;15;24;2;22
2009-03-09;LUNDI;3;5;27;32;40;9;27;32;5;40;3
2009-03-11;MERCREDI;4;7;8;11;22;5;4;7;11;22;8
2009-03-14;SAMEDI;11;18;20;27;38;6;27;18;20;11;38
2009-03-16;LUNDI;27;35;36;44;45;2;27;45;35;36;44
2009-03-18;MERCREDI;3;20;34;39;42;2;42;3;39;20;34
2009-03-21;SAMEDI;2;15;32;39;45;10;45;32;15;2;39
2009-03-23;LUNDI;1;2;10;25;33;4;1;25;10;2;33
2009-03-25;MERCREDI;5;10;15;33;34;7;10;34;15;33;5
2009-03-28;SAMEDI;19;22;23;26;27;2;19;26;23;22;27
2009-03-30;LUNDI;24;29;32;45;47;10;32;47;45;29;24
2009-04-01;MERCREDI;22;27;30;37;45;3;37;27;30;22;45
2009-04-04;SAMEDI;8;27;37;41;45;6;37;41;27;8;45
2009-04-06;LUNDI;28;31;33;43;48;7;43;33;48;31;28
2009-04-08;MERCREDI;7;10;33;34;46;6;46;33;10;34;7
2009-04-11;SAMEDI;2;5;19;21;23;7;21;5;2;23;19
2009-04-13;LUNDI;9;11;20;24;30;1;20;24;30;11;9
2009-04-15;MERCREDI;12;23;37;39;43;8;23;43;37;12;39
2009-04-18;SAMEDI;12;20;31;32;45;8;31;20;45;12;32
2009-04-20;LUNDI;11;12;34;38;43;3;11;34;38;43;12
2009-04-22;MERCREDI;2;31;33;43;49;9;2;31;49;33;43
2009-04-25;SAMEDI;9;20;23;34;49;8;34;23;49;9;20
2009-04-27;LUNDI;4;9;21;34;37;2;9;37;21;34;4
2009-04-29;MERCREDI;4;15;26;29;30;3;4;30;29;26;15
2009-05-02;SAMEDI;5;7;11;15;23;1;7;15;11;5;23
2009-05-04;LUNDI;1;12;23;33;46;1;33;1;23;12;46
2009-05-06;MERCREDI;13;20;36;44;48;1;48;36;13;20;44
2009-05-09;SAMEDI;20;22;28;30;45;3;45;28;22;30;20
2009-05-11;LUNDI;9;15;27;34;48;6;15;27;48;9;34
2009-05-13;MERCREDI;12;36;38;39;49;10;38;36;49;39;12
2009-05-16;SAMEDI;1;2;7;26;44;9;1;2;26;44;7
2009-05-18;LUNDI;26;28;34;35;49;4;49;26;35;34;28
2009-05-20;MERCREDI;3;15;23;28;35;10;35;28;15;3;23
2009-05-23;SAMEDI;3;13;25;33;38;3;38;13;33;3;25
2009-05-25;LUNDI;3;6;25;40;46;4;46;40;6;3;25
2009-05-27;MERCREDI;3;5;7;23;48;7;7;48;5;3;23
